"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабій
Григорій
Ярославович","Басараба
Петро
Дмитрович","Босий
Володимир
Ігорович","Величко
Роман
Андрійович","Гаршин
Віктор
Миколайович","Глова
Ігор
Григорович","Жук
Ганна
Михайлівна","Козак
Тарас
Романович","Пазиняк
Василь
Степанович","Савуляк
Сергій
Маркіянович","Сміщук
Сергій
Леонідович","Франко
Степан
Михайлович","Якимович
Богдан
Зіновійович","Дата підписання протоколу"
"460463","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Шкільна, 52, с.Хитрейки, Жовківський р-н, Львівська обл., 80339","450","151","441","36","268","31","299","","0","268","31","299","5","294","0","1","0","1","1","0","1","158","122","8","0","0","2","29.10.12"
"460464","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Богдана Хмельницького, 76, с.Кунин, Жовківський р-н, Львівська обл., 80339","636","190","625","38","411","35","446","","0","411","35","446","11","435","2","2","11","1","4","0","2","182","214","15","1","0","1","28.10.12"
"460465","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Петрова, 49А, с.Воля-Висоцька, Жовківський р-н, Львівська обл., 80350","1266","337","1260","35","897","32","929","","0","897","32","929","11","918","2","2","10","0","10","0","3","559","300","17","10","1","4","29.10.12"
"460466","122","Львівська область","школа, фойє, 1-й поверх
вул.Б.Хмельницького, 54, с.Крехів, Жовківський р-н, Львівська обл., 80352","816","247","808","35","537","32","569","","0","537","32","569","18","551","1","3","1","3","3","0","3","252","264","10","4","2","5","29.10.12"
"460467","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Т.Шевченка, 54, с.Фійна, Жовківський р-н, Львівська обл., 80352","348","88","348","41","219","41","260","","0","219","41","260","6","254","1","2","2","0","1","1","0","112","107","23","2","0","3","29.10.12"
"460468","122","Львівська область","школа-садок, фойє, 1-й поверх
вул.Л.Українки, 2, с.Глинськ, Жовківський р-н, Львівська обл., 80351","1398","408","1392","22","968","22","990","","0","968","22","990","33","957","8","4","5","4","3","0","11","372","514","20","12","1","3","29.10.12"
"460469","122","Львівська область","школа №3, актова зала, 1-й поверх
вул.Набережна, 2, м.Жовква, Жовківський р-н, Львівська обл., 80300","2154","667","2151","45","1447","40","1487","","0","1447","40","1487","41","1446","9","0","31","3","30","3","4","520","798","23","17","2","6","29.10.12"
"460470","122","Львівська область","лісгосп, актова зала, 1-й поверх
вул.Лісна, 3, м.Жовква, Жовківський р-н, Львівська обл., 80300","2178","597","2167","35","1553","28","1581","","0","1553","28","1581","31","1550","3","3","12","4","21","3","5","478","966","31","9","1","14","29.10.12"
"460471","122","Львівська область","районний народний дім, мала зала, 1-й поверх
вул.Львівська, 37, м.Жовква, Жовківський р-н, Львівська обл., 80300","2448","774","2425","27","1653","21","1674","","0","1653","21","1674","30","1644","5","1","29","4","36","5","5","595","890","41","21","0","12","29.10.12"
"460472","122","Львівська область","школа мистецтв, фойє, 2-й поверх
вул.Львівська, 25, м.Жовква, Жовківський р-н, Львівська обл., 80300","1422","386","1422","38","1002","34","1036","","0","1002","34","1036","29","1007","5","2","15","0","13","4","5","316","618","15","4","1","9","29.10.12"
