"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабій
Григорій
Ярославович","Басараба
Петро
Дмитрович","Босий
Володимир
Ігорович","Величко
Роман
Андрійович","Гаршин
Віктор
Миколайович","Глова
Ігор
Григорович","Жук
Ганна
Михайлівна","Козак
Тарас
Романович","Пазиняк
Василь
Степанович","Савуляк
Сергій
Маркіянович","Сміщук
Сергій
Леонідович","Франко
Степан
Михайлович","Якимович
Богдан
Зіновійович","Дата підписання протоколу"
"461670","122","Львівська область","вул. Червоної Калини, 11, с.Коханівка, Яворівський р-н, Львівська обл.,81007, школа, актова зала
461670 вул.Червоної Калини, 11, с.Коханівка, Яворівський р-н, Львівська обл.,81007","534","86","535","39","409","39","448","","0","409","39","448","2","446","5","0","1","2","0","0","3","218","207","4","0","6","0","29.10.12"
"461671","122","Львівська область","їдальня, школа.
вул.Т.Шевченка, 70, с.Смолин, Яворівський р-н, Львівська обл., 81010","888","370","887","80","440","78","518","","0","440","78","518","9","509","3","0","1","1","1","0","60","166","271","6","0","0","0","29.10.12"
"461672","122","Львівська область","школа, фойє
вул.І.Франка, 12, с.Вороблячин, Яворівський р-н, Львівська обл., 81011","426","146","429","20","260","20","280","","0","260","20","280","6","274","1","0","0","0","0","2","9","84","176","1","1","0","0","29.10.12"
"461673","122","Львівська область","школа, спортзал
вул.Центрльна, 3, с.Середкевичі, Яворівський р-н, Львівська обл., 81012","1128","395","1146","106","627","106","733","","0","627","106","733","7","726","17","1","4","0","2","1","4","307","366","18","5","1","0","29.10.12"
"461674","122","Львівська область","сільська рада, сесійна зала
вул.Т.Шевенка, 23, с.Старичі, Яворівський р-н, Львівська обл., 81052","1074","417","1077","13","644","13","657","","0","644","13","657","9","648","24","2","2","5","0","1","4","181","414","9","2","2","2","29.10.12"
"461675","122","Львівська область","школа, актова зала
вул.О.Маковея, 1, с.Старичі, Яворівський р-н, Львівська обл., 81052","1914","847","1854","0","1067","0","1067","","0","1067","0","1067","49","1018","53","11","30","20","12","28","26","452","341","11","10","11","13","29.10.12"
"461676","122","Львівська область","школа, фойє
вул.Центральна, 11, с.Воля-Старицька, Яворівський р-н, Львівська обл., 81052","246","87","249","7","152","7","159","","0","152","7","159","4","155","4","0","4","0","1","0","2","38","100","3","1","1","1","29.10.12"
"461677","122","Львівська область","клуб, зал
клуб, с.Терновиця, Яворівський р-н, Львівська обл., 81060","660","183","670","30","449","28","477","","0","449","28","477","4","473","6","0","1","0","0","29","1","129","300","6","0","1","0","29.10.12"
"461678","122","Львівська область","школа, фойє
школа, с.Чолгині, Яворівський р-н, Львівська обл., 81061","810","306","812","29","475","29","504","","0","475","29","504","9","495","3","0","3","0","0","3","1","202","268","14","0","1","0","29.10.12"
"461679","122","Львівська область","школа, фойє
школа, с.Рулево, Яворівський р-н, Львівська обл., 81061","192","66","191","11","115","11","126","","0","115","11","126","2","124","0","0","5","0","0","1","2","44","69","3","0","0","0","29.10.12"
"461680","122","Львівська область","461680, вул.Перемоги, 2, с.Чернилява, Яворівський р-н, Львівська обл., 81030, школа, актова зала
461680 вул. Перемоги, 2, с.Чернилява, Яворівський р-н, Львівська обл.,81030","1398","328","1402","40","1031","39","1070","","0","1031","39","1070","7","1063","7","0","3","1","2","0","5","271","739","13","0","21","1","29.10.12"
"461681","122","Львівська область","фойє, школа.
школа,вул.Т.Шевченка,3 ,с.Ясниська, Яворівський р-н, Львівська обл., 81082","1002","272","1002","52","679","51","730","","0","679","51","730","20","710","14","2","6","4","1","3","7","239","419","3","9","2","1","29.10.12"
"461682","122","Львівська область","Яворівська центральна районна лікарня № 1, кабінет головного лікар’я
вул.Й.Лозинського, 4, м.Яворів, Яворівський р-н, Львівська обл., 81000","216","183","40","0","33","0","33","","0","33","0","33","0","33","0","0","0","0","0","0","0","13","20","0","0","0","0","29.10.12"
"461683","122","Львівська область","Яворівська центральна районна лікарня № 1, кабінет головного лікар’я
вул.Т.Шевченка, 18, м.Новояворівськ, Яворівський р-н, Львівська обл., 81053","402","338","77","0","64","0","64","","0","64","0","64","2","62","0","0","0","0","0","0","1","17","42","1","0","1","0","29.10.12"
"461684","122","Львівська область","Яворівська районна лікарня № 2, кабінет головного лікар’я
вул.Львівська, 52А, смт Івано-Франкове, Яворівський р-н, Львівська обл., 81070","84","68","16","1","15","1","16","","0","15","1","16","0","16","0","0","0","0","0","0","0","6","10","0","0","0","0","29.10.12"
