"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вакулін
Дмитро
Сергійович","Голубєв
Михайло
Михайлович","Груба
Григорій
Іванович","Гуріненко
Олексій
Миколайович","Казарін
Володимир
Павлович","Книрік
Костянтин
Сергійович","Коз’якова
Ірена
В’ячеславівна","Костюк
Віктор
Георгійович","Крутов
Сергій
Валерійович","Макєєв
Михайло
Андрійович","Миронов
Олександр
Володимирович","Писана
Олена
Вікторівна","Поздняков
Андрій
Володимирович","Похилюк
Євгеній
Олександрович","Ременюк
Олексій
Іванович","Решетнікова
Світлана
Анатоліївна","Сейненський
Алішер
Вікторович","Терещенко
Олена
Вікторівна","Тещаєва
Олена
Володимирівна","Тутєров
Володимир
Лукич","Устіменко
Андрій
Ігорович","Хруслова
Ліліана
Мударисівна","Чийгоз
Ахтем
Зейтуллайович"
"010030","10","Автономна Республіка Крим","магазин, торговельна зала
вул.Зелена, 18, с.Завітне, Бахчисарайський р-н, Автономна Республіка Крим, 98420","771","404","766","17","351","16","367","","0","351","16","367","18","349","9","32","126","4","2","2","1","1","1","4","1","2","2","0","8","2","5","3","7","17","0","3",""
"010031","10","Автономна Республіка Крим","клуб, хол
вул.Гагаріна, 23, с.Ростуче, Бахчисарайський р-н, Автономна Республіка Крим, 98410","420","210","417","6","204","6","210","","0","204","6","210","11","199","2","19","75","0","1","0","0","1","0","2","0","0","0","1","15","0","1","2","1","11","0","2",""
"010032","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Леніна, 60, с.Плодове, Бахчисарайський р-н, Автономна Республіка Крим, 98410","927","353","918","30","545","29","574","","0","545","29","574","24","550","16","33","247","2","4","5","2","3","6","3","1","0","3","0","53","3","1","4","1","51","0","0",""
"010033","10","Автономна Республіка Крим","клуб, хол
вул.Павленко, 20, с.Дібрівка, Бахчисарайський р-н, Автономна Республіка Крим, 98412","426","146","419","4","276","4","280","","0","276","4","280","12","268","3","11","136","1","2","0","0","2","0","0","1","3","2","1","14","0","1","5","2","23","0","0",""
"010034","10","Автономна Республіка Крим","клуб, актова зала
вул.Чорноморська, 4А, с.Брянське, Бахчисарайський р-н, Автономна Республіка Крим, 98411","816","375","806","27","415","26","441","","0","415","26","441","23","418","6","23","123","2","3","12","1","0","1","1","3","1","1","1","20","0","1","1","1","43","0","0",""
"010035","10","Автономна Республіка Крим","будинок культури, хол
вул.Виноградна, 1, с.Каштани, Бахчисарайський р-н, Автономна Республіка Крим, 98413","783","342","766","32","410","31","441","","0","410","31","441","22","419","11","55","231","1","2","11","2","2","4","2","0","2","4","5","13","5","1","0","0","37","5","2",""
"010036","10","Автономна Республіка Крим","дитячий садок, хол
вул.Леніна, 6, с.Шевченкове, Бахчисарайський р-н, Автономна Республіка Крим, 98415","720","340","714","34","349","31","380","","0","349","31","380","26","354","5","34","188","2","0","5","0","1","0","0","0","3","2","2","12","2","1","2","2","23","0","2",""
"010037","10","Автономна Республіка Крим","клуб, хол
вул.Альмінська, 60А, с.Відрадне, Бахчисарайський р-н, Автономна Республіка Крим, 98414","681","296","682","16","370","15","385","","0","370","15","385","15","370","11","45","189","4","2","11","2","1","2","4","1","1","0","2","12","1","0","0","3","15","0","2",""
"010038","10","Автономна Республіка Крим","клуб, хол
вул.Панфілова, 18, с.Кочергіне, Бахчисарайський р-н, Автономна Республіка Крим, 98413","345","126","342","14","205","14","219","","0","205","14","219","8","211","10","17","81","3","2","2","1","1","0","1","3","2","1","0","11","0","1","1","0","12","0","2",""
"010039","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Леніна, 45А, с.Віліне, Бахчисарайський р-н, Автономна Республіка Крим, 98433","2463","1331","2447","25","1107","25","1132","","0","1107","25","1132","59","1073","33","89","288","13","5","9","9","7","4","10","7","7","13","5","64","4","4","7","3","38","8","5",""
