"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрєєва
Наталя
Євгенівна","Анелікова
Євгенія
Андріївна","Грива
Олег
Олександрович","Жаріков
Іван
Петрович","Іванов
Володимир
Кіндратович","Канівець
Наталія
Іванівна","Кулєша
Сергій
Анатолійович","Лебедєв
Ігор
Володимирович","Лесів
Ігор
Михайлович","Луміковський
Микола
Миколайович","Ляшенко
Олександр
Юрійович","Мельник
Володимир
Олександрович","Мельнікова
Тетяна
Богданівна","Муравейник
Юрій
Анатолійович","Нечаєв
Олександр
Ігоревич","Плошихіна
Наталя
Василівна","Постєвая
Тамара
Григорівна","Тарасов
Валерій
Іванович","Толочко
Елла
Петрівна","Дата підписання протоколу"
"010427","9","Автономна Республіка Крим","школа №1, фойє, 1-й поверх
вул.Шкільна, 7, смт Первомайське, Первомайський р-н, Автономна Республіка Крим, 96300","756","413","744","23","323","20","343","","0","323","20","343","16","327","4","9","5","1","3","2","1","4","28","27","2","21","6","2","147","3","14","3","45","28.10.12"
"010428","9","Автономна Республіка Крим","будівля РАЙПО, хол
вул.Леніна, 62, смт Первомайське, Первомайський р-н, Автономна Республіка Крим, 96300","1148","596","1144","32","533","19","552","","0","533","19","552","25","527","13","4","8","1","3","2","7","2","64","53","6","48","6","5","231","3","20","6","45","29.10.12"
"010429","9","Автономна Республіка Крим","контора радгоспу ім.1 Травня, зал засідань
вул.Богдана Хмельницького, 13, смт Первомайське, Первомайський р-н, Автономна Республіка Крим, 96300","1148","473","1142","22","658","17","675","","0","658","17","675","29","646","11","19","8","2","6","2","7","7","56","58","10","39","3","1","321","4","16","3","73","29.10.12"
"010430","9","Автономна Республіка Крим","школа №2, їдальня
вул.Пєтухова, 1, смт Первомайське, Первомайський р-н, Автономна Республіка Крим, 96300","1084","534","1074","30","528","22","550","","0","528","22","550","35","515","18","13","2","7","7","1","4","3","37","45","9","33","4","3","245","5","14","3","62","29.10.12"
"010431","9","Автономна Республіка Крим","будинок культури, фойє
вул.Бичкова, 15, с.Пшеничне, Первомайський р-н, Автономна Республіка Крим, 96305","564","252","561","27","288","24","312","","0","288","24","312","17","295","5","3","3","3","1","1","0","2","17","4","12","6","18","2","181","3","16","0","18","28.10.12"
"010432","9","Автономна Республіка Крим","школа, фойє
вул.Жовтнева, 18Б, с.Абрикосове, Первомайський р-н, Автономна Республіка Крим, 96316","660","295","656","34","338","27","365","","0","338","27","365","16","349","6","15","2","1","3","1","5","2","34","6","11","19","0","4","215","1","9","3","12","29.10.12"
"010433","9","Автономна Республіка Крим","школа, фойє
вул.Леніна, 1, с.Войкове, Первомайський р-н, Автономна Республіка Крим, 96343","1448","751","1431","60","641","56","697","","0","641","56","697","35","662","13","24","6","3","5","5","1","1","86","14","72","42","5","5","321","3","16","1","39","29.10.12"
"010434","9","Автономна Республіка Крим","молодіжний центр, фойє
вул.Шкільна, 18, с.Відкрите, Первомайський р-н, Автономна Республіка Крим, 96343","164","62","165","0","102","0","102","","0","102","0","102","8","94","2","2","1","0","0","3","2","0","10","4","1","8","1","0","52","1","1","0","6","28.10.12"
"010435","9","Автономна Республіка Крим","школа, фойє, 1-й поверх
вул.Шкільна, 2, с.Гвардійське, Первомайський р-н, Автономна Республіка Крим, 96340","660","298","656","29","335","27","362","","0","335","27","362","21","341","6","9","4","4","2","2","3","2","24","5","21","18","2","3","213","1","2","0","20","29.10.12"
"010436","9","Автономна Республіка Крим","сільський клуб, танцювальна зала
вул.Шкільна, 19, с.Братське, Первомайський р-н, Автономна Республіка Крим, 96340","312","127","306","9","176","9","185","","0","176","9","185","10","175","4","3","6","0","1","0","0","1","10","4","2","4","1","1","127","2","0","0","9","29.10.12"
"010437","9","Автономна Республіка Крим","сільський клуб, танцювальна зала
вул.Шкільна, 24, с.Оленівка, Первомайський р-н, Автономна Республіка Крим, 96340","256","91","255","16","151","14","165","","0","151","14","165","1","164","1","5","2","1","1","0","0","1","16","0","5","7","1","2","103","3","0","1","15","28.10.12"
"010438","9","Автономна Республіка Крим","школа, фойє
вул.Октябрська, 1, с.Гришине, Первомайський р-н, Автономна Республіка Крим, 96324","1368","664","1361","46","663","41","704","","0","663","41","704","24","680","7","6","12","3","8","4","3","6","54","14","12","5","29","2","425","7","9","5","69","29.10.12"
"010439","9","Автономна Республіка Крим","сільський клуб, фойє
вул.Ворошилова, 1Б, с.Фрунзе, Первомайський р-н, Автономна Республіка Крим, 96324","440","200","435","10","231","9","240","","0","231","9","240","26","214","4","3","3","1","3","3","3","1","41","7","2","11","1","1","90","5","6","1","28","28.10.12"
"010440","9","Автономна Республіка Крим","школа, фойє
вул.Леніна, 1А, с.Калініне, Первомайський р-н, Автономна Республіка Крим, 96314","1456","693","1449","71","710","53","763","","0","710","53","763","36","727","10","10","10","7","4","4","2","7","65","17","8","48","9","5","422","5","25","3","66","28.10.12"
"010441","9","Автономна Республіка Крим","школа, фойє
вул.Виноградна, 1, с.Кормове, Первомайський р-н, Автономна Республіка Крим, 96331","1112","489","1109","54","570","53","623","","0","570","53","623","35","588","8","9","7","0","3","5","3","5","72","6","9","2","46","5","338","3","3","4","60","29.10.12"
"010442","9","Автономна Республіка Крим","магазин РАЙПО, хол
вул.Соняшна, 11А, с.Тихонівка, Первомайський р-н, Автономна Республіка Крим, 96331","212","88","211","9","115","9","124","","0","115","9","124","3","121","1","0","1","0","0","1","3","1","20","2","3","7","0","1","76","0","1","0","4","29.10.12"
"010443","9","Автономна Республіка Крим","школа, фойє
вул.Мічурина, 40, с.Крестянівка, Первомайський р-н, Автономна Республіка Крим, 96312","1040","542","1038","36","466","32","498","","0","466","32","498","27","471","10","22","11","7","5","4","5","6","55","18","12","47","8","8","189","6","12","5","41","29.10.12"
"010444","9","Автономна Республіка Крим","сільський клуб, фойє
вул.1 Травня, 8, с.Нова Деревня, Первомайський р-н, Автономна Республіка Крим, 96312","272","99","271","3","170","3","173","","0","170","3","173","4","169","3","6","6","0","2","2","4","3","13","1","5","3","0","0","90","6","7","1","17","28.10.12"
"010445","9","Автономна Республіка Крим","школа, фойє
вул.Леніна, 23, с.Октябрське, Первомайський р-н, Автономна Республіка Крим, 96323","1084","608","1073","16","465","11","476","","0","465","11","476","35","441","7","17","10","3","3","0","3","5","91","12","17","48","4","2","172","5","9","3","30","29.10.12"
"010446","9","Автономна Республіка Крим","школа, спортивна зала
вул.Дзюбана, 48, с.Олексіївка, Первомайський р-н, Автономна Республіка Крим, 96330","752","402","743","43","308","42","350","","0","308","42","350","24","326","10","3","3","2","3","1","2","1","32","5","9","15","4","2","213","3","4","0","14","28.10.12"
"010447","9","Автономна Республіка Крим","школа, спортивна зала
вул.Первомайська, 5, с.Островське, Первомайський р-н, Автономна Республіка Крим, 96315","824","368","817","30","426","30","456","","0","426","30","456","21","435","6","5","4","1","11","5","3","3","45","7","5","28","2","2","274","5","5","3","21","28.10.12"
"010448","9","Автономна Республіка Крим","сільський клуб, танцювальна зала
вул.Жуковського, 4, с.Мельничне, Первомайський р-н, Автономна Республіка Крим, 96315","192","77","191","6","109","6","115","","0","109","6","115","7","108","2","1","3","1","2","0","0","1","5","6","1","4","0","1","73","1","1","0","6","28.10.12"
"010449","9","Автономна Республіка Крим","ФАП, приймальня
пров.Магазинний, 2А, с.Снігурівка, Первомайський р-н, Автономна Республіка Крим, 96315","160","54","156","6","101","5","106","","0","101","5","106","8","98","0","2","4","0","0","0","1","0","31","0","1","3","1","0","44","2","7","0","2","29.10.12"
"010450","9","Автономна Республіка Крим","будинок культури, фойє
вул.Шкільна, 40, с.Правда, Первомайський р-н, Автономна Республіка Крим, 96310","1156","330","1151","56","770","56","826","","0","770","56","826","32","794","10","17","17","4","5","6","9","5","40","13","6","19","2","2","594","5","7","1","32","28.10.12"
"010451","9","Автономна Республіка Крим","їдальня СВК ""Грузія"", хол
вул.Терешкової, 16, с.Матвіївка, Первомайський р-н, Автономна Республіка Крим, 96310","220","73","217","1","146","1","147","","0","146","1","147","5","142","5","0","4","0","2","1","0","0","13","0","2","1","2","1","97","1","3","1","9","28.10.12"
"010452","9","Автономна Республіка Крим","сільський клуб, танцювальна зала
вул.Первомайська, 19, с.Арбузове, Первомайський р-н, Автономна Республіка Крим, 96310","136","45","131","1","90","1","91","","0","90","1","91","4","87","1","0","0","0","1","0","0","0","6","3","2","4","0","1","62","2","2","0","3","29.10.12"
"010453","9","Автономна Республіка Крим","школа, їдальня
вул.Зелена, 32, с.Сари-Баш, Первомайський р-н, Автономна Республіка Крим, 96322","720","455","711","10","256","9","265","","0","256","9","265","26","239","5","5","1","1","5","3","0","3","116","5","11","14","4","0","56","2","2","1","5","28.10.12"
