"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безрученко
Володимир
Олександрович","Варченко
Іван
Григорович","Кацуба
Володимир
Михайлович","Коробка
Юрій
Олексійович","Третьяк
Вікторія
Валеріївна","Дата підписання протоколу"
"630355","175","Харківська область","дитячий навчальний заклад ""Малятко"", великий зал
вул.Шевченка, 6, с-ще Південне, Дергачівський р-н, Харківська обл., 62350","312","135","310","12","165","12","177","","0","165","12","177","3","174","23","7","131","7","6","29.10.12"
"630356","175","Харківська область","школа, коридор
вул.Фрунзе, 41, с.Дворічний Кут, Дергачівський р-н, Харківська обл., 62351","960","437","956","20","507","16","523","","0","507","16","523","13","510","37","103","324","36","10","29.10.12"
"630357","175","Харківська область","сільський клуб, зал
вул.Пролетарська, сільський клуб, с-ще Мануїлівка, Дергачівський р-н, Харківська обл., 62351","368","146","362","18","213","9","222","","0","213","9","222","6","216","22","35","150","5","4","29.10.12"
"630358","175","Харківська область","сільський клуб, глядацька зала
вул.Леніна, 71, с.Протопопівка, Дергачівський р-н, Харківська обл., 62361","776","294","761","54","435","47","482","","0","435","47","482","14","468","34","68","321","27","18","29.10.12"
"630359","175","Харківська область","школа, спортзал
вул.Радянська, 32, с.Великі Проходи, Дергачівський р-н, Харківська обл., 62331","704","253","690","48","407","44","451","","0","407","44","451","11","440","26","38","363","8","5","29.10.12"
"630360","175","Харківська область","будинок культури, друга зала
вул.Конєва, 51А, с.Малі Проходи, Дергачівський р-н, Харківська обл., 62330","352","100","342","32","221","31","252","","0","221","31","252","1","251","17","14","205","11","4","29.10.12"
"630361","175","Харківська область","сільська школа, фойє
вул.Матюшенко, 74, с.Руська Лозова, Дергачівський р-н, Харківська обл., 62332","2200","1180","2192","62","966","54","1020","","0","966","54","1020","37","983","129","163","587","68","36","29.10.12"
"630362","175","Харківська область","сільський клуб, зал
вул.Лермонтова, 7А, с.Руська Лозова, Дергачівський р-н, Харківська обл., 62332","2152","1183","2136","70","910","59","969","","0","910","59","969","41","928","139","77","617","67","28","29.10.12"
"630363","175","Харківська область","сільський клуб, глядацька зала
вул.Радянська, 4, с.Гоптівка, Дергачівський р-н, Харківська обл., 62313","976","395","961","37","548","33","581","","0","548","33","581","19","562","40","56","435","17","14","29.10.12"
"630364","175","Харківська область","медамбулаторія, фойє
вул.Піонерська, 24А, с.Дубівка, Дергачівський р-н, Харківська обл., 62314","632","251","623","43","339","42","381","","0","339","42","381","15","366","22","27","277","25","15","29.10.12"
"630365","175","Харківська область","сільська рада, актовий зал 1-й поверх
вул.1 Травня, 1, с.Черкаська Лозова, Дергачівський р-н, Харківська обл., 62340","1600","781","1588","49","774","45","819","","0","774","45","819","32","787","101","138","403","108","37","29.10.12"
"630366","175","Харківська область","середня школа, спортивний зал
вул.Горького, 25Г, с.Черкаська Лозова, Дергачівський р-н, Харківська обл., 62340","1760","841","1752","75","858","61","919","","0","858","61","919","32","887","104","216","402","127","38","29.10.12"
"630367","175","Харківська область","бібліотека, читальний зал
вул.Інтернаціональна, 17, с-ще Лісне, Дергачівський р-н, Харківська обл., 62340","808","390","787","15","408","10","418","","0","408","10","418","15","403","57","60","222","43","21","28.10.12"
"630368","175","Харківська область","центральна районна лікарня
вул.1 Травня, 23, м.Дергачі, Дергачівський р-н, Харківська обл., 62300","112","31","86","0","81","0","81","","0","81","0","81","0","81","2","2","74","2","1","28.10.12"
"630369","175","Харківська область","виправна колонія, кабінет начальника установи
вул.Шевченка, 7, с-ще Південне, Дергачівський р-н, Харківська обл., 62351","200","4","196","0","196","0","196","","0","196","0","196","1","195","1","1","191","1","1","29.10.12"
"630370","175","Харківська область","виховна колонія, клуб
вул.Макаренка, 1, с.Подвірки, Дергачівський р-н, Харківська обл., 62371","80","21","59","0","59","0","59","","0","59","0","59","1","58","0","0","58","0","0","28.10.12"
"630810","175","Харківська область","Коротичанський ліцей, ліве крило, хол, 1-й поверх
вул.Леніна, 59А, смт Коротич, Харківський р-н, Харківська обл., 62454","1160","516","1145","18","630","14","644","","0","630","14","644","22","622","74","136","311","79","22","28.10.12"
"630811","175","Харківська область","Коротичанський ліцей, праве крило, хол
вул.Леніна, 59А, смт Коротич, Харківський р-н, Харківська обл., 62454","1448","578","1452","42","836","34","870","","0","836","34","870","39","831","84","152","455","97","43","29.10.12"
"630812","175","Харківська область","Коротичанська селищна рада, актова зала
вул.Радянська, 47, смт Коротич, Харківський р-н, Харківська обл., 62454","1168","564","1162","39","569","35","604","","0","568","35","603","23","580","81","102","317","50","30","29.10.12"
"630813","175","Харківська область","інститут АіП імені Соколовського, приймальна інституту
Дослідне сільськогосподарське підприємство ННЦ «Інститут ґрунтознавства та агрохімії» ім. О.Н.Соколовського, с-ще Комунар, Харківський р-н, Харківська обл., 62454","712","327","711","10","375","10","385","","0","375","10","385","22","363","59","68","191","30","15","29.10.12"
"630814","175","Харківська область","Кулиничівська селищна рада, зала засідань, 2-й поверх
вул.7-ї Гвардійської Армії, 14, смт Кулиничі, Харківський р-н, Харківська обл., 62404","1080","530","1077","42","516","34","550","","0","516","34","550","31","519","107","90","196","86","40","29.10.12"
"630815","175","Харківська область","Кулиничівська селищна рада, актова зала, 2-й поверх
вул.7-ї Гвардійської Армії, 14, смт Кулиничі, Харківський р-н, Харківська обл., 62404","1872","879","1842","59","950","43","993","","0","950","43","993","67","926","185","207","317","142","75","29.10.12"
