"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Величко
Катерина
Олександрівна","Галілей
Анатолій
Степанович","Завротська
Тетяна
Вікторівна","Колесников
Денис
Вікторович","Макаров
Владислав
Леонідович","Морозенко
Євгеній
Вадимович","Осташ
Євген
Дмитрович","Петров
Вадим
Григорович","Средняк
Валерій
Якович","Табурянський
Леопольд
Іванович","Терешко
Руслан
Ігоревич","Тигов
Олександр
Олександрович","Чукмасов
Сергій
Олександрович","Шендрик
Анатолій
Миколайович","Шинкаренко
Ігор
Петрович","Шинкаренко
Наталія
Володимирівна","Дата підписання протоколу"
"121415","28","Дніпропетровська область","клуб ДП ""НВК ""Електровозобудування"", фойє, 1-й поверх
просп.Свободи, 222, м.Дніпропетровськ, 49068","1508","743","1469","28","738","27","765","","0","738","27","765","36","729","10","79","10","50","2","291","1","8","4","35","6","19","53","7","80","74","29.10.12"
"121416","28","Дніпропетровська область","школа №88, вестибюль, 1-й поверх
просп.Свободи, 218, м.Дніпропетровськ, 49068","2276","1258","2240","16","1008","10","1018","","0","1008","10","1018","63","955","19","134","8","54","3","322","1","9","6","54","6","28","73","5","143","90","29.10.12"
"121417","28","Дніпропетровська область","школа №143, хол, 1-й поверх
вул.Коробова, 3Д, м.Дніпропетровськ, 49128","2388","1223","2337","8","1159","6","1165","","0","1159","6","1165","50","1115","17","211","17","30","6","325","13","10","6","59","17","31","82","12","159","120","28.10.12"
"121418","28","Дніпропетровська область","школа №143, хол, 1-й поверх
вул.Коробова, 3Д, м.Дніпропетровськ, 49128","2120","1079","2108","4","1037","4","1041","","0","1037","4","1041","45","996","21","180","7","31","8","300","9","5","7","60","7","17","65","11","149","119","29.10.12"
"121419","28","Дніпропетровська область","школа №143, хол, 1-й поверх
вул.Коробова, 3Д, м.Дніпропетровськ, 49128","2432","1221","2404","16","1200","11","1211","","0","1200","11","1211","54","1157","24","168","10","32","14","411","5","10","9","84","10","22","100","6","136","116","29.10.12"
"121420","28","Дніпропетровська область","міський комунальний заклад ""Бібліотека-філія №4"", вестибюль, 1-й поверх
ж/м Червоний Камінь, 3, м.Дніпропетровськ, 49128","2348","1159","2305","27","1172","17","1189","","0","1172","17","1189","51","1138","17","168","8","32","10","407","9","6","10","118","7","17","96","3","119","111","29.10.12"
"121421","28","Дніпропетровська область","школа №96, хол, 1-й поверх
вул.Коробова, 3, м.Дніпропетровськ, 49128","2375","1198","2335","27","1156","21","1177","","0","1156","21","1177","46","1131","21","163","7","51","4","402","5","9","5","86","8","20","100","8","116","126","29.10.12"
"121422","28","Дніпропетровська область","школа №96, хол, 1-й поверх
вул.Коробова, 3, м.Дніпропетровськ, 49128","2212","1013","2170","13","1187","12","1199","","0","1187","12","1199","40","1159","22","229","12","21","16","303","5","11","14","136","4","20","64","11","149","142","29.10.12"
"121423","28","Дніпропетровська область","школа №96, спортивна зала, 1-й поверх
вул.Коробова, 3, м.Дніпропетровськ, 49128","2436","1245","2376","43","1161","30","1191","","0","1161","30","1191","65","1126","11","224","4","46","6","386","5","4","5","51","8","19","100","6","153","98","28.10.12"
"121424","28","Дніпропетровська область","навчально-виховний комплекс №106, початкова школа, коридор, 2-й поверх
вул.Метробудівська, 7, м.Дніпропетровськ, 49128","2340","1160","2293","18","1165","15","1180","","0","1165","15","1180","46","1134","13","185","8","42","5","386","7","4","6","59","9","20","108","12","141","129","29.10.12"
"121425","28","Дніпропетровська область","навчально-виховний комплекс №106, коридор, 2-й поверх
вул.Метробудівська, 7, м.Дніпропетровськ, 49128","2388","1173","2364","28","1193","22","1215","","0","1193","22","1215","65","1150","12","180","10","46","9","379","8","6","6","69","5","18","143","10","112","137","29.10.12"
"121426","28","Дніпропетровська область","навчально-виховний комплекс №106, хол, 1-й поверх
вул.Метробудівська, 7, м.Дніпропетровськ, 49128","2336","1179","2297","23","1141","16","1157","","0","1141","16","1157","62","1095","8","180","9","51","6","342","6","5","5","73","14","27","100","4","141","124","29.10.12"
"121427","28","Дніпропетровська область","школа №97 імені П.І.Шкідченка, коридор, 1-й поверх
вул.Братів Трофімових, 42, м.Дніпропетровськ, 49128","2388","1267","2342","15","1111","10","1121","","0","1111","10","1121","52","1069","24","174","17","39","1","322","15","5","11","55","7","23","136","11","132","97","28.10.12"
"121428","28","Дніпропетровська область","школа №97 імені П.І.Шкідченка, коридор, 2-й поверх
вул.Братів Трофімових, 42, м.Дніпропетровськ, 49128","2296","1311","2273","16","975","10","985","","0","975","10","985","51","934","5","150","11","19","3","338","4","3","2","47","16","17","117","13","121","68","28.10.12"
"121429","28","Дніпропетровська область","школа №97 імені П.І.Шкідченка, коридор, 1-й поверх
вул.Братів Трофімових, 42, м.Дніпропетровськ, 49128","2392","1257","2368","23","1119","16","1135","","0","1119","16","1135","36","1099","15","216","8","43","7","342","8","8","6","71","6","27","114","6","123","99","29.10.12"
"121430","28","Дніпропетровська область","школа №97 імені П.І.Шкідченка, коридор, 2-й поверх
вул.Братів Трофімових, 42, м.Дніпропетровськ, 49128","2412","1199","2391","12","1203","10","1213","","0","1203","10","1213","61","1152","21","174","18","53","7","345","9","5","7","77","8","24","114","17","134","139","29.10.12"
"121431","28","Дніпропетровська область","школа №141, коридор, 1-й поверх
вул.Моніторна, 3, м.Дніпропетровськ, 49018","2220","1057","2200","18","1149","14","1163","","0","1149","14","1163","52","1111","20","186","8","51","6","367","10","5","4","52","5","24","92","5","150","126","29.10.12"
