"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Герасим’юк
Ольга
Володимирівна","Пресман
Олександр
Семенович","Тюхтій
Микола
Петрович","Царьков
Євген
Ігорович","Дата підписання протоколу"
"510731","139","Одеська область","школа-гімназія №1, фойє, 1-поверх
вул.Шевченка, 56, м.Роздільна, Роздільнянський р-н, Одеська обл., 67400","2472","1581","2409","9","886","5","891","","0","886","5","891","45","846","273","364","28","181","29.10.12"
"510732","139","Одеська область","школа №3, актова зала
вул.Садова, 9, м.Роздільна, Роздільнянський р-н, Одеська обл., 67400","2296","1535","2274","10","754","7","761","","0","754","7","761","38","723","177","321","27","198","29.10.12"
"510733","139","Одеська область","будинок культури №1, актова зала
вул.Леніна, 61, смт Лиманське, Роздільнянський р-н, Одеська обл., 67452","1792","1111","1767","45","638","43","681","","0","638","43","681","41","640","119","325","15","181","28.10.12"
"510734","139","Одеська область","будинок культури №2, актова зала
вул.Кірова, 245, смт Лиманське, Роздільнянський р-н, Одеська обл., 67452","1576","961","1562","41","583","32","615","","0","583","32","615","28","587","111","294","16","166","29.10.12"
"510735","139","Одеська область","будинок культури №3, актова зала
Військове містечко, смт Лиманське, Роздільнянський р-н, Одеська обл., 67453","2456","1524","2439","22","915","17","932","","0","915","17","932","43","889","174","471","25","219","29.10.12"
"510736","139","Одеська область","школа, фойє, 1-поверх
вул.Б.Хмельницького, 56, с.Бецилове, Роздільнянський р-н, Одеська обл., 67440","376","126","373","50","203","47","250","","0","203","47","250","17","233","46","157","7","23","28.10.12"
"510737","139","Одеська область","школа, фойє, 1-поверх
пров.Шкільний, 3, с.Новоселівка, Роздільнянський р-н, Одеська обл., 67413","272","95","271","12","166","11","177","","0","166","11","177","14","163","35","103","7","18","29.10.12"
"510738","139","Одеська область","сільський клуб, актова зала
вул.Наливаного, 53, с.Буцинівка, Роздільнянський р-н, Одеська обл., 67461","944","589","933","6","350","5","355","","0","350","5","355","32","323","100","147","16","60","04.11.12"
"510739","139","Одеська область","школа, їдальня, 1-поверх
вул.Леніна, 207В, с.Виноградар, Роздільнянський р-н, Одеська обл., 67472","1792","1081","1794","40","672","39","711","","0","672","39","711","53","658","132","392","20","114","29.10.12"
"510740","139","Одеська область","школа, фойє, 1-поверх
вул.О.Пікула, 110А, с.Гаївка, Роздільнянський р-н, Одеська обл., 67411","552","289","540","18","248","15","263","","0","248","15","263","13","250","48","170","2","30","28.10.12"
"510741","139","Одеська область","фельшерсько-акушерський пункт, к.2
вул.Шевченка, 59А, с.Лучинське, Роздільнянський р-н, Одеська обл., 67483","464","249","461","16","199","16","215","","0","199","16","215","12","203","65","108","3","27","28.10.12"
"510742","139","Одеська область","школа, фойє, 1-поверх
вул.Калініна, 23, с.Єгорівка, Роздільнянський р-н, Одеська обл., 67420","952","480","943","48","431","41","472","","0","431","41","472","11","461","157","250","6","48","28.10.12"
"510743","139","Одеська область","школа, фойє
вул.Софіївська, 49Б, с.Болгарка, Роздільнянський р-н, Одеська обл., 67471","1080","490","1072","33","557","33","590","","0","557","33","590","21","569","121","380","9","59","28.10.12"
"510744","139","Одеська область","будинок культури, актова зала
вул.Леніна, 41, с.Єреміївка, Роздільнянський р-н, Одеська обл., 67442","808","431","800","35","344","33","377","","0","344","33","377","23","354","125","186","14","29","04.11.12"
"510745","139","Одеська область","сільський клуб, актова зала
вул.Шкільна, 4, с.Бурдівка, Роздільнянський р-н, Одеська обл., 67443","600","322","588","11","267","11","278","","0","267","11","278","30","248","83","94","10","61","29.10.12"
