"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гречко
Володимир
Васильович","Данильчук
Олександр
Юрійович","Добриднік
Микола
Мусійович","Корнійко
Роман
Іванович","Кособуцький
Олексій
Миколайович","Кучерук
Микола
Герасимович","Максимов
Олександр
Іванович","Овчинніков
Сергій
Михайлович","Старовецький
Володимир
Миколайович","Сухан
Віктор
Григорович","Федас
Віктор
Васильович","Циганенко
Андрій
Володимирович","Шершун
Микола
Харитонович","Дата підписання протоколу"
"560453","156","Рівненська область","будинок культури, фойє
вул.Центральна, 7, с.Гута, Костопільський р-н, Рівненська обл., 35010","480","167","478","12","302","11","313","","0","302","11","313","10","303","4","20","17","16","4","105","7","1","2","3","0","4","120","28.10.12"
"560454","156","Рівненська область","сільський клуб, танцювальна зала
вул.Кондратюка, 31, с.Бичаль, Костопільський р-н, Рівненська обл., 35054","552","168","543","32","352","32","384","","0","352","32","384","10","374","8","137","4","1","1","87","3","0","2","0","1","2","128","28.10.12"
"560455","156","Рівненська область","будинок культури, актова зала
вул.Романа Мартинюка, 13, с.Деражне, Костопільський р-н, Рівненська обл., 35053","1568","593","1541","67","911","64","975","","0","911","64","975","23","952","23","87","10","20","4","295","0","5","5","2","2","5","494","29.10.12"
"560456","156","Рівненська область","будинок культури, актова зала
вул.Н.Хасевича, 54А, с.Дюксин, Костопільський р-н, Рівненська обл., 35055","932","347","915","10","577","8","585","","0","577","8","585","19","566","15","24","4","34","1","190","0","1","2","1","0","14","280","29.10.12"
"560457","156","Рівненська область","школа, актова зала
вул.Незалежності, 72, с.Жильжа, Костопільський р-н, Рівненська обл., 35055","108","20","104","0","88","0","88","","0","88","0","88","1","87","4","0","0","6","0","14","1","0","0","0","0","0","62","28.10.12"
"560458","156","Рівненська область","сільський клуб, танцювальна зала
вул.Костопільська, 13А, с.Соломка, Костопільський р-н, Рівненська обл., 35045","56","10","52","1","45","1","46","","0","45","1","46","2","44","1","2","0","0","0","11","0","0","0","0","0","0","30","29.10.12"
"560459","156","Рівненська область","сільський клуб, танцювальна зала
вул.Лісна, 8, с.Суськ, Костопільський р-н, Рівненська обл., 35055","240","64","238","5","171","5","176","","0","171","5","176","4","172","2","1","1","1","2","31","0","0","3","1","3","2","125","29.10.12"
"560460","156","Рівненська область","школа, актова зала
вул.Героїв УПА, 32, с.Звіздівка, Костопільський р-н, Рівненська обл., 35051","588","193","585","14","381","14","395","","0","381","14","395","8","387","2","27","14","19","1","125","0","1","0","1","1","4","192","29.10.12"
"560461","156","Рівненська область","сільський клуб, актова зала
вул.Лісова, 7, с.Корчин, Костопільський р-н, Рівненська обл., 35051","252","74","249","3","175","3","178","","0","175","3","178","3","175","0","7","5","2","0","68","0","0","1","0","0","1","91","28.10.12"
"560462","156","Рівненська область","школа, спортивна зала
вул.Шевченка, 13, с.Ставок, Костопільський р-н, Рівненська обл., 35052","760","275","739","11","474","11","485","","0","474","11","485","21","464","8","28","4","4","6","133","1","0","0","1","2","6","271","29.10.12"
