"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Байцим
Василь
Федорович","Бурко
Іван
Михайлович","Верчук
Ігор
Васильович","Гузь
Ігор
Володимирович","Івахів
Степан
Петрович","Кононович
Олександр
Адамович","Скрипін
Ігор
Олександрович","Смітюх
Іван
Євдокимович","Дата підписання протоколу"
"070965","21","Волинська область","сільський будинок культури, зала
вул.Молодіжна, 14, с.Самійличі, Шацький р-н, Волинська обл., 44031","328","79","321","12","237","12","249","","0","237","12","249","4","245","2","0","3","104","106","3","10","17","29.10.12"
"070966","21","Волинська область","сільський клуб, зала
вул.Колгоспна, 18, с.Пехи, Шацький р-н, Волинська обл., 44031","192","32","187","4","158","2","160","","0","158","2","160","1","159","0","2","1","71","64","1","5","15","30.10.12"
"070967","21","Волинська область","сільський клуб, зала
вул.Променева, 17, с.Положеве, Шацький р-н, Волинська обл., 44031","192","48","184","2","142","2","144","","0","142","2","144","4","140","0","0","2","39","52","2","6","39","29.10.12"
"070968","21","Волинська область","школа, актовий зал
вул.Жовтнева, 33, с.Світязь, Шацький р-н, Волинська обл., 44021","1416","567","1399","32","818","31","849","","0","818","31","849","12","837","12","5","17","243","434","11","31","84","29.10.12"
"070969","21","Волинська область","клуб, зала
вул.Лісова, 34, с.Омельне, Шацький р-н, Волинська обл., 44021","184","23","182","4","157","4","161","","0","157","4","161","1","160","1","0","3","50","99","2","2","3","30.10.12"
"070970","21","Волинська область","бібліотека-клуб, зала
вул.Вишнева, 1Б, с.Підманове, Шацький р-н, Волинська обл., 44021","392","120","386","13","259","13","272","","0","259","13","272","4","268","1","4","4","98","142","4","5","10","29.10.12"
"070990","21","Волинська область","районна санітарно-епідеміологічна станція, конференц-зал, 3-й поверх
вул.Незалежності, 17А, м.Ковель, Волинська обл., 45000","1448","595","1424","4","849","4","853","","0","849","4","853","13","840","15","1","9","297","352","14","53","99","29.10.12"
"070991","21","Волинська область","школа №1, актова зала, 1-й поверх
вул.Незалежності, 29, м.Ковель, Волинська обл., 45000","2024","754","2001","12","1259","11","1270","","0","1259","11","1270","17","1253","17","3","14","533","435","13","78","160","29.10.12"
"070992","21","Волинська область","Ковельська філія ВАТ ""Волиньобленерго"", конференц-зал, 1-й поверх
вул.М.Грушевського, 56, м.Ковель, Волинська обл., 45000","2000","898","1987","26","1077","25","1102","","0","1077","25","1102","23","1079","16","1","25","444","354","5","69","165","29.10.12"
"070993","21","Волинська область","гімназія, спортивна зала, 1-й поверх
вул.Незалежності, 49, м.Ковель, Волинська обл., 45000","1400","498","1397","13","889","13","902","","1","888","13","901","8","893","10","7","14","350","321","32","50","109","29.10.12"
"070994","21","Волинська область","гуртожиток професійно-технічного училища №5, кімната відпочинку, 1-й поверх
вул.Чубинського, 16, м.Ковель, Волинська обл., 45000","1896","767","1863","2","1127","2","1129","","0","1127","2","1129","16","1113","16","8","11","407","398","46","58","169","29.10.12"
"070995","21","Волинська область","клуб пасажирського вагонного депо, велика зала
вул.Ветеранів, 18, м.Ковель, Волинська обл., 45000","984","398","974","4","582","4","586","","0","582","4","586","10","576","6","6","5","262","182","15","24","76","29.10.12"
"070996","21","Волинська область","будинок вчителя, танцювальна зала, 3-й поверх
вул.Незалежності, 94, м.Ковель, Волинська обл., 45000","1168","455","1157","19","696","17","713","","0","696","17","713","15","698","13","6","12","273","221","15","31","127","29.10.12"
"070997","21","Волинська область","Палац учнівської молоді імені Івана Франка, фойє
вул.Незалежності, 100, м.Ковель, Волинська обл., 45000","1344","491","1314","17","837","16","853","","0","837","16","853","9","844","16","4","14","331","281","33","30","135","29.10.12"
"070998","21","Волинська область","Народний дім ""Просвіта"", танцювальна зала
вул.Міцкевича, 10, м.Ковель, Волинська обл., 45000","2432","976","2400","28","1433","23","1456","","0","1433","23","1456","17","1439","21","1","28","634","448","34","55","218","29.10.12"
"070999","21","Волинська область","школа №10, фойє, 1- поверх
вул.Міцкевича, 59А, м.Ковель, Волинська обл., 45000","2328","898","2303","6","1424","6","1430","","0","1424","6","1430","25","1405","20","7","34","638","372","14","80","240","29.10.12"
"071000","21","Волинська область","Ковельська геолого-розвідувальна експедиція, актова зала
вул.Т.Шевченка, 115, м.Ковель, Волинська обл., 45000","1048","409","1047","5","634","5","639","","0","634","5","639","12","627","11","2","35","298","157","12","26","86","29.10.12"
"071001","21","Волинська область","школа №3, актова зала, 2-й поверх
вул.Незалежності, 138. м.Ковель, Волинська обл., 45000","872","345","855","5","523","4","527","","0","523","4","527","6","521","3","0","11","231","154","7","23","92","29.10.12"
"071002","21","Волинська область","школа №8, спортивна зала, 2-й поверх
вул.Театральна, 21, м.Ковель, Волинська обл., 45000","1160","441","1174","24","695","24","719","","0","695","24","719","7","712","8","0","10","292","250","15","22","115","29.10.12"
"071003","21","Волинська область","школа №5, гімнастична зала, 1-й поверх
вул.Театральна, 17, м.Ковель, Волинська обл., 45000","1368","531","1369","3","834","3","837","","0","834","3","837","9","828","8","4","12","358","265","14","33","134","29.10.12"
"071004","21","Волинська область","школа №7, фойє, 1- поверх
вул.М.Левицького, 1, м.Ковель, Волинська обл., 45000","2296","881","2305","16","1400","15","1415","","0","1400","15","1415","25","1390","17","9","24","601","405","13","67","254","29.10.12"
"071005","21","Волинська область","підприємство теплових мереж ""Ковельтепло"", актова зала, 2-й поверх
вул.Володимирська, 97А, м.Ковель, Волинська обл., 45000","2192","878","2151","6","1308","6","1314","","0","1308","6","1314","31","1283","31","5","20","541","431","17","77","161","29.10.12"
"071006","21","Волинська область","Палац культури імені Т.Шевченка, фойє
вул.Володимирська, 124, м.Ковель, Волинська обл., 45000","1616","652","1593","12","952","12","964","","0","952","12","964","12","952","25","2","34","437","272","11","32","139","29.10.12"
"071007","21","Волинська область","навчально-виховний комплекс №11, фойє
вул.Заводська, 31, м.Ковель, Волинська обл., 45000","1840","696","1832","10","1135","9","1144","","0","1135","9","1144","22","1122","25","3","30","478","349","18","61","158","29.10.12"
"071008","21","Волинська область","Ковельський промислово-економічний коледж, бібліотека, 1-й поверх
вул.Заводська, 23, м.Ковель, Волинська обл., 45000","1688","688","1656","5","996","4","1000","","0","996","4","1000","16","984","17","3","16","427","316","13","52","140","29.10.12"
"071009","21","Волинська область","гуртожиток технічного ліцею, конференц-зал, 1-й поверх
вул.Відродження, 2, м.Ковель, Волинська обл., 45000","1688","612","1697","20","1059","17","1076","","0","1059","17","1076","21","1055","27","4","20","432","393","15","47","117","29.10.12"
"071010","21","Волинська область","школа мистецтв, актова зала
вул.Відродження, 12А, м.Ковель, Волинська обл., 45000","1976","811","1961","7","1160","5","1165","","0","1160","5","1165","20","1145","27","5","27","547","325","18","48","148","29.10.12"
"071011","21","Волинська область","державне підприємство ""Ковельське лісове господарство"", актова зала
вул.Холмська, 48, м.Ковель, Волинська обл., 45000","1480","642","1498","7","831","7","838","","0","831","7","838","9","829","19","0","27","360","197","10","39","177","29.10.12"
"071012","21","Волинська область","школа №6, спортивна зала, 1-й поверх
вул.Брестська, 23, м.Ковель, Волинська обл., 45000","2544","1015","2541","16","1514","15","1529","","0","1514","15","1529","37","1492","18","4","28","764","293","8","91","286","29.10.12"
"071013","21","Волинська область","ВАТ ""Ковельський хлібокомбінат"", актова зала
2-й пров.Ватутіна, 6, м.Ковель, Волинська обл., 45000","2120","993","2099","5","1122","5","1127","","0","1121","5","1126","23","1103","7","0","6","378","245","14","65","388","29.10.12"
"071014","21","Волинська область","шляхово-будівельне управління-63, актова зала
вул.Брестська, 198, м.Ковель, Волинська обл., 45000","1304","584","1295","2","718","2","720","","0","718","2","720","9","711","5","4","8","275","224","8","28","159","29.10.12"
"071015","21","Волинська область","школа №2, спортивна зала
вул.В.Сухомлинського, 2, м.Ковель, Волинська обл., 45000","2112","931","2059","12","1170","11","1181","","0","1170","11","1181","28","1153","14","6","16","517","346","9","60","185","29.10.12"
"071016","21","Волинська область","поліклініка вузлової лікарні станції Ковель Львівської залізничної дороги, фойє, 1-й пов.
вул.Б.Хмельницького, 17, м.Ковель, Волинська обл., 45000","2064","918","2052","8","1138","8","1146","","0","1138","8","1146","19","1127","26","4","18","494","314","15","35","221","29.10.12"
"071017","21","Волинська область","школа №12, фойє, 1-й поверх
вул.В.Симоненка, 76, м.Ковель, Волинська обл., 45000","2312","1006","2342","14","1292","14","1306","","0","1292","14","1306","26","1280","31","1","13","598","354","12","42","229","29.10.12"
"071018","21","Волинська область","школа №9, спортивна зала
вул.О.Олеся, 9, м.Ковель, Волинська обл., 45000","1728","704","1732","6","1021","3","1024","","0","1021","3","1024","17","1007","11","3","10","485","249","13","55","181","29.10.12"
"071019","21","Волинська область","навчально-виховний комплекс №13, їдальня, 1-й поверх
вул.40 років Перемоги, 18, м.Ковель, Волинська обл., 45000","1536","568","1512","1","967","1","968","","0","967","1","968","25","943","31","4","19","399","297","11","48","134","29.10.12"
"071020","21","Волинська область","Державний заклад вузлової лікарні станції Ковель Львівської залізничної дороги, конференц-зал
вул.Б.Хмельницького, 17, м.Ковель, Волинська обл., 45000","128","91","39","0","37","0","37","","0","37","0","37","0","37","1","0","0","18","4","0","1","13","29.10.12"
"071021","21","Волинська область","Ковельська центральна районна лікарня, конференц-зал, 1-й поверх
вул.Олени Пчілки, 4, м.Ковель, Волинська обл., 45000","608","338","287","103","172","98","270","","0","172","98","270","6","264","2","2","3","110","87","5","6","49","29.10.12"
"071022","21","Волинська область","Ковельська виховна колонія, фойє клубу
вул.Т.Шевченка, 20, м.Ковель, Волинська обл., 45000","64","20","45","0","44","0","44","","0","44","0","44","2","42","0","1","0","0","39","0","0","2","29.10.12"
