"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Байцим
Василь
Федорович","Бурко
Іван
Михайлович","Верчук
Ігор
Васильович","Гузь
Ігор
Володимирович","Івахів
Степан
Петрович","Кононович
Олександр
Адамович","Скрипін
Ігор
Олександрович","Смітюх
Іван
Євдокимович","Дата підписання протоколу"
"070400","21","Волинська область","фельдшерсько-акушерський пункт, приймальня
вул.Зоряна, 10, с.Старий Мосир, Ковельський р-н, Волинська обл., 45092","96","24","90","10","63","9","72","","0","63","9","72","2","70","1","0","0","23","21","1","0","24","29.10.12"
"070401","21","Волинська область","фельдшерсько-акушерський пункт, приймальня
вул.Комсомольська, 48А, с.Дарівка, Ковельський р-н, Волинська обл., 45070","328","86","313","17","226","16","242","","0","226","16","242","8","234","1","1","18","66","69","3","6","70","29.10.12"
"070402","21","Волинська область","фельдшерсько-акушерський пункт, кабінет фельдшера
вул.Янків, 44А, с.Партизанське, Ковельський р-н, Волинська обл., 45092","56","7","54","9","40","9","49","","0","40","9","49","1","48","0","2","0","10","18","0","0","18","28.10.12"
"070403","21","Волинська область","будинок культури, актовий зал
вул.Незалежності, 94А, с.Облапи, Ковельський р-н, Волинська обл., 45023","720","192","725","61","470","58","528","","0","470","58","528","7","521","2","1","15","174","231","8","13","77","29.10.12"
"070404","21","Волинська область","школа, фойє
вул.Шкільна, 2, с.Підріжжя, Ковельський р-н, Волинська обл., 45054","480","141","474","16","325","14","339","","0","325","14","339","1","338","4","0","5","137","106","5","1","80","29.10.12"
"070405","21","Волинська область","школа, світлиця
вул.Радянська, 32, с.Кашівка, Ковельський р-н, Волинська обл., 45054","296","88","290","13","198","10","208","","0","198","10","208","4","204","3","0","0","95","55","1","4","46","29.10.12"
"070406","21","Волинська область","школа, спортивний зал
вул.Калініна, 13, с.Пісочне, Ковельський р-н, Волинська обл., 45052","536","106","535","45","388","42","430","","0","388","42","430","3","427","0","1","3","90","107","9","5","212","29.10.12"
"070407","21","Волинська область","школа, фойє
вул.Шевченка, 12, с.Поворськ, Ковельський р-н, Волинська обл., 45050","1288","294","1275","85","915","79","994","","0","915","79","994","7","987","2","1","3","382","402","24","18","155","29.10.12"
"070408","21","Волинська область","клуб, актовий зал
вул.Незалежності, 21, с.Гулівка, Ковельський р-н, Волинська обл., 45051","168","32","163","7","130","6","136","","0","130","6","136","3","133","1","1","1","40","74","3","2","11","29.10.12"
"070409","21","Волинська область","клуб, актовий зал
вул.Центральна, 9, с.Заячівка, Ковельський р-н, Волинська обл., 45050","96","12","95","11","74","10","84","","0","74","10","84","0","84","1","0","3","28","27","2","0","23","29.10.12"
"070410","21","Волинська область","школа, фойє
вул.Центральна, 8, с.Озерне, Ковельський р-н, Волинська обл., 45051","232","40","226","20","173","19","192","","0","173","19","192","1","191","1","0","9","45","61","11","5","59","29.10.12"
"070411","21","Волинська область","будинок культури, актовий зал
вул.Мартинюка, 32, с.Поповичі, Ковельський р-н, Волинська обл., 45090","248","60","241","10","184","4","188","","0","184","4","188","3","185","3","1","4","36","95","3","4","39","29.10.12"
"070412","21","Волинська область","клуб, актовий зал
вул.Радянська, 22, с.Борщівка, Ковельський р-н, Волинська обл., 45091","120","27","113","8","87","6","93","","0","87","6","93","2","91","0","3","1","33","36","1","2","15","28.10.12"
"070413","21","Волинська область","клуб, актовий зал
вул.Мартинюка, 33, с.Великий Порськ, Ковельський р-н, Волинська обл., 45091","168","47","163","11","110","11","121","","0","110","11","121","3","118","0","0","0","37","48","0","0","33","29.10.12"
"070414","21","Волинська область","школа, актовий зал
вул.Перемоги, 44, с.Жмудче, Ковельський р-н, Волинська обл., 45090","216","44","212","35","141","31","172","","0","141","31","172","3","169","1","0","1","66","68","2","5","26","29.10.12"
"070415","21","Волинська область","школа, актовий зал
вул.Ковельська, 36, с.Малий Порськ, Ковельський р-н, Волинська обл., 45091","176","22","175","21","134","20","154","","0","134","20","154","5","149","0","0","1","55","66","0","5","22","29.10.12"
"070416","21","Волинська область","клуб, актовий зал
вул.Луцька, 38, с.Свидники, Ковельський р-н, Волинська обл., 45091","112","25","108","7","82","5","87","","0","82","5","87","0","87","0","2","1","28","33","3","3","17","29.10.12"
"070417","21","Волинська область","клуб, актовий зал
вул.Рокосовського, 77, с.Радошин, Ковельський р-н, Волинська обл., 45074","344","76","348","26","245","23","268","","0","245","23","268","1","267","2","0","8","95","93","1","3","65","29.10.12"
"070418","21","Волинська область","фельдшерсько-акушерський пункт, приймальня
вул.Воз’єднання, 46, с.Байківці, Ковельський р-н, Волинська обл., 45074","200","53","191","14","134","13","147","","0","134","13","147","1","146","0","3","1","46","39","3","0","54","29.10.12"
"070419","21","Волинська область","клуб, актовий зал
вул.Бенделіані, 19, с.Битень, Ковельський р-н, Волинська обл., 45074","168","44","161","15","109","15","124","","0","109","15","124","0","124","1","0","1","35","51","5","1","30","28.10.12"
"070420","21","Волинська область","фельдшерсько-акушерський пункт, приймальня
вул.Ветеранів, 15, с.Мар’янівка, Ковельський р-н, Волинська обл., 45074","40","11","36","3","26","3","29","","0","26","3","29","1","28","0","0","1","3","8","0","0","16","28.10.12"
"070421","21","Волинська область","клуб, фойє
вул.Лісова, 2А, с.Ситовичі, Ковельський р-н, Волинська обл., 45053","208","35","207","12","162","11","173","","0","162","11","173","0","173","0","1","0","36","90","1","1","44","29.10.12"
"070422","21","Волинська область","фельдшерсько-акушерський пункт, фойє
вул.Чапаєва, 3, с.Світле, Ковельський р-н, Волинська обл., 45053","48","8","48","3","38","2","40","","0","38","2","40","2","38","0","0","0","26","5","0","0","7","31.10.12"
"070423","21","Волинська область","будинок культури, актовий зал
вул.Шкільна, 1, с.Скулин, Ковельський р-н, Волинська обл., 45043","720","219","706","36","467","34","501","","0","467","34","501","3","498","2","3","11","186","168","4","18","106","29.10.12"
"070424","21","Волинська область","клуб, актовий зал
вул.Центральна, 15, с.Стеблі, Ковельський р-н, Волинська обл., 45043","200","60","190","15","127","13","140","","0","127","13","140","0","140","0","0","2","58","42","1","3","34","29.10.12"
"070425","21","Волинська область","сільська рада, сесійний зал
вул.Центральна, 2, с.Сільце, Ковельський р-н, Волинська обл., 45082","312","77","310","16","221","14","235","","0","221","14","235","5","230","0","0","3","69","101","1","3","53","29.10.12"
"070426","21","Волинська область","клуб, актовий зал
вул.Центральна, 2, с.Арсеновичі, Ковельський р-н, Волинська обл., 45083","208","47","202","21","140","21","161","","0","140","21","161","1","160","0","0","2","53","55","1","0","49","29.10.12"
"070427","21","Волинська область","фельдшерсько-акушерський пункт, кабінет медогляду
вул.Церковна, 3, с.Підліси, Ковельський р-н, Волинська обл., 45082","168","44","161","14","111","13","124","","0","111","13","124","0","124","0","1","0","59","46","1","2","15","29.10.12"
"070428","21","Волинська область","клуб, актовий зал
вул.Шкільна, 11, с.Угли, Ковельський р-н, Волинська обл., 45083","176","33","173","19","124","19","143","","0","124","19","143","2","141","1","1","1","40","63","6","0","29","29.10.12"
"070429","21","Волинська область","школа, актовий зал
вул.Молодіжна, 6, с.Старі Кошари, Ковельський р-н, Волинська обл., 45033","336","82","338","21","234","20","254","","0","234","20","254","6","248","1","2","3","103","72","4","11","52","29.10.12"
"070430","21","Волинська область","клуб с.Кругель, зал
вул.17-го Вересня, 28, с.Кругель, Ковельський р-н, Волинська обл., 45033","176","47","173","26","104","25","129","","0","104","25","129","2","127","0","2","3","36","53","2","1","30","29.10.12"
"070431","21","Волинська область","клуб, актовий зал
вул.Лесі Українки, 35, с.Нові Кошари, Ковельський р-н, Волинська обл., 45033","104","26","99","5","73","5","78","","0","73","5","78","0","78","2","1","2","18","24","1","2","28","28.10.12"
"070432","21","Волинська область","школа с.Тойкут, фойє
вул.Садова, 8, с.Тойкут, Ковельський р-н, Волинська обл., 45021","584","166","571","52","372","46","418","","0","372","46","418","7","411","1","2","13","141","114","9","7","124","29.10.12"
"070433","21","Волинська область","амбулаторія с.Заріччя, фойє
вул.Зарічна, 13А, с.Заріччя, Ковельський р-н, Волинська обл., 45021","424","130","417","31","266","28","294","","0","266","28","294","7","287","0","3","4","74","65","0","1","140","29.10.12"
"070434","21","Волинська область","школа, коридор
вул.Васюти, 1, с.Уховецьк, Ковельський р-н, Волинська обл., 45044","584","149","577","59","379","56","435","","0","379","56","435","2","433","1","1","2","108","240","9","8","64","30.10.12"
"070435","21","Волинська область","Голобська районна лікарня, конференц зал
вул.Незалежності, 11, смт Голоби, Ковельський р-н, Волинська обл., 45070","80","29","57","9","43","8","51","","0","43","8","51","0","51","0","0","2","18","16","1","0","14","29.10.12"
"070732","21","Волинська область","навчально-виробничий комбінат, зала, 1-й поверх
вул.Шкільна, 6, смт Ратне, Ратнівський р-н, Волинська обл., 44100","1824","757","1810","29","1042","25","1067","","0","1042","25","1067","23","1044","4","41","4","368","352","13","25","237","29.10.12"
